Week,Total A,Total B,Percent Positive A,Percent Positive B,Total # Tested,% Positive
1,61316,13018,2535,25.3653,21.231,4.13432
2,68276,15149,3246,26.9421,22.1879,4.75423
3,69124,14782,3905,27.034,21.3848,5.64927
4,80322,16634,5350,27.3698,20.7091,6.66069
5,81687,15193,6915,27.0643,18.599,8.46524
6,81391,14116,7858,26.9981,17.3434,9.65463
7,74973,11371,8210,26.1174,15.1668,10.9506
8,60034,7177,6400,22.6155,11.9549,10.6606
9,48489,4405,4559,18.4867,9.08453,9.40213
10,40978,2897,3534,15.6938,7.06965,8.62414
11,36794,2349,3384,15.5813,6.38419,9.19715
12,33442,2023,3103,15.328,6.04928,9.27875
13,30668,1708,2927,15.1135,5.56932,9.54415
14,27339,1132,2337,12.6888,4.1406,8.54823
15,25052,901,1917,11.2486,3.59652,7.65208
16,21483,595,1424,9.39813,2.76963,6.6285
17,19328,472,1074,7.99876,2.44205,5.55671
18,17095,346,724,6.25914,2.02398,4.23516
19,14978,191,467,4.39311,1.2752,3.11791
20,13013,176,236,3.16606,1.35249,1.81357
21,11799,119,163,2.39003,1.00856,1.38147
22,10789,76,89,1.52934,0.704421,0.824914
23,9703,73,80,1.57683,0.752345,0.824487
24,8929,51,65,1.29914,0.571173,0.727965
25,8502,49,38,1.02329,0.576335,0.446954
26,7723,57,29,1.11356,0.738055,0.375502
27,6879,44,25,1.00305,0.639628,0.363425
28,6986,51,13,0.916118,0.730031,0.186086
29,6835,57,15,1.0534,0.833943,0.219459
30,6733,48,19,0.995099,0.712907,0.282192
31,6292,43,17,0.953592,0.683408,0.270184
32,6790,43,22,0.95729,0.633284,0.324006
33,7065,36,18,0.764331,0.509554,0.254777
34,7783,77,27,1.33625,0.989336,0.34691
35,8712,98,33,1.50367,1.12489,0.378788
36,9786,119,52,1.74739,1.21602,0.531371
37,12030,155,48,1.68745,1.28845,0.399002
38,13182,158,66,1.69929,1.1986,0.500683
39,14763,169,52,1.49699,1.14475,0.352232
40,16492,218,69,1.74024,1.32185,0.418385
41,17980,222,81,1.68521,1.23471,0.450501
42,20128,311,89,1.98728,1.54511,0.44217
43,21302,337,98,2.04206,1.58201,0.460051
44,22281,389,98,2.18572,1.74588,0.439837
45,23304,543,95,2.73773,2.33007,0.407655
46,24288,667,99,3.15382,2.74621,0.407609
47,24511,893,72,3.93701,3.64326,0.293746
48,28063,998,103,3.92332,3.55628,0.367031
49,28835,1658,147,6.25975,5.74996,0.509797
50,32892,3235,188,10.4068,9.83522,0.571568
51,38138,5282,179,14.3191,13.8497,0.469348
52,43057,6835,231,16.4108,15.8743,0.536498
