"","Var1","Freq"
"1","0",8
"2","1",5
"3","10",2
"4","12",1
"5","13",1
"6","14",8
"7","15",1
"8","16",1
"9","20",6
"10","21",3
"11","22",17
"12","23",1
"13","24",2
"14","26",1
"15","27",9
"16","28",16
"17","29",6
"18","3",7
"19","30",1
"20","31",1
"21","32",2
"22","33",5
"23","34",5
"24","35",2
"25","36",13
"26","37",9
"27","38",4
"28","39",1
"29","4",13
"30","40",2
"31","41",2
"32","42",47
"33","43",7
"34","44",4
"35","45",40
"36","46",3
"37","47",3
"38","48",3
"39","50",18
"40","51",1
"41","52",1
"42","53",3
"43","54",4
"44","55",2
"45","56",5
"46","57",1
"47","59",1
"48","6",8
"49","60",1
"50","61",1
"51","62",3
"52","63",5
"53","64",5
"54","65",2
"55","66",4
"56","67",4
"57","68",1
"58","69",2
"59","7",1
"60","70",2
"61","71",3
"62","72",29
"63","73",3
"64","76",11
"65","77",10
"66","78",45
"67","79",2
"68","8",7
"69","80",9
"70","81",4
"71","82",3
"72","83",4
"73","84",1
"74","85",3
"75","87",8
"76","88",9
"77","89",7
"78","90",3
"79","93",3
"80","94",6
"81","96",1
"82","97",34
"83","98",19
"84","AB",32
"85","AK",4
"86","AL",35
"87","AR",37
"88","AZ",60
"89","Ac",7
"90","Ae",1
"91","Al",1
"92","An",4
"93","Ar",12
"94","At",5
"95","Au",21
"96","BC",15
"97","Ba",1
"98","Be",9
"99","Bl",1
"100","Bo",5
"101","Br",1
"102","Bu",1
"103","CA",593
"104","CD",1
"105","CO",68
"106","CT",91
"107","Ca",56
"108","Cd",1
"109","Ce",23
"110","Ch",15
"111","Ci",1
"112","Cl",1
"113","Co",117
"114","Cr",1
"115","Cu",3
"116","Có",1
"117","DC",160
"118","DE",19
"119","DF",4
"120","Da",1
"121","De",31
"122","Di",13
"123","Do",4
"124","Du",4
"125","Ec",9
"126","Ef",2
"127","Eg",1
"128","El",3
"129","En",1
"130","Et",1
"131","FL",136
"132","Fa",1
"133","Fi",13
"134","Fr",22
"135","GA",190
"136","Ge",13
"137","Gh",4
"138","Gl",1
"139","Gr",1
"140","HI",3
"141","HS",1
"142","He",23
"143","Ho",3
"144","Hu",3
"145","IA",70
"146","ID",14
"147","IL",163
"148","IN",84
"149","Ic",1
"150","Ig",4
"151","In",1
"152","Ir",16
"153","Is",1
"154","It",3
"155","Ja",7
"156","Je",6
"157","KS",505
"158","KY",74
"159","Ka",8
"160","Ke",4
"161","Kh",2
"162","Ki",2
"163","LA",75
"164","La",26
"165","Le",2
"166","Lo",15
"167","Lu",2
"168","MA",131
"169","MB",10
"170","MD",113
"171","ME",23
"172","MI",65
"173","MN",53
"174","MO",81
"175","MS",20
"176","MT",5
"177","Ma",12
"178","Mc",13
"179","Me",288
"180","Mi",25
"181","Mo",3
"182","Mu",2
"183","Mé",5
"184","Má",1
"185","NC",81
"186","ND",12
"187","NE",17
"188","NH",11
"189","NJ",49
"190","NM",19
"191","NS",1
"192","NV",54
"193","NY",350
"194","Na",2
"195","Ne",18
"196","Ni",8
"197","No",31
"198","Nr",1
"199","Nu",2
"200","OH",231
"201","OK",100
"202","ON",128
"203","OR",82
"204","Oa",16
"205","Ok",1
"206","Om",1
"207","Op",1
"208","PA",169
"209","Pa",13
"210","Pe",6
"211","Ph",1
"212","Pi",1
"213","Po",12
"214","Pr",2
"215","Pu",2
"216","QC",13
"217","Qa",1
"218","Qu",1
"219","R5",1
"220","RI",14
"221","Ra",5
"222","Re",21
"223","Ri",15
"224","Ru",1
"225","Ré",1
"226","SC",32
"227","SD",13
"228","SK",1
"229","Sa",74
"230","Se",60
"231","Sl",1
"232","So",4
"233","Sp",1
"234","St",53
"235","Su",1
"236","Sw",12
"237","Sã",2
"238","TN",72
"239","TX",426
"240","Ta",14
"241","Th",3
"242","To",1
"243","Tr",1
"244","Tá",1
"245","UK",96
"246","US",392
"247","UT",32
"248","Ug",2
"249","Un",2
"250","Ur",2
"251","VA",105
"252","VT",7
"253","Va",1
"254","Ve",4
"255","WA",97
"256","WI",60
"257","WV",37
"258","WY",4
"259","Wh",1
"260","Wi",2
"261","Wo",4
"262","Xa",8
"263","Xi",1
"264","Zi",1
"265","Zo",33
"266","Zu",1
"267","a ",1
"268","er",8
"269","ho",4
"270","Сл",2
